Model,Target,SMAPE,R2,MAPE,Visit_Month_Diff
rf_reg,updrs_1,65.01,0.2534185698447894,1.4485111317254176,6
rf_reg,updrs_1,54.09,0.4911584908382629,1953227838389204.5,12
rf_reg,updrs_1,61.67,0.3380202717101758,2095007826658276.2,24
rf_reg,updrs_2,53.46,0.6175587208592701,1.1274407596371883,6
rf_reg,updrs_2,97.67,0.5177457447688363,2436947798366035.5,12
rf_reg,updrs_2,87.88,0.4053938585928092,1828127848740024.0,24
rf_reg,updrs_3,34.62,0.532811446131598,5854679515581645.0,6
rf_reg,updrs_3,88.76,0.6407905405405404,3020747750062210.5,12
rf_reg,updrs_3,73.85,0.643458771649408,1981583836043018.2,24
rf_reg,updrs_4,123.79,0.4516666666666669,4130444229674083.5,12
rf_reg,updrs_4,165.78,-0.9093158469945357,7886928847432581.0,24
