,updrs,param,val,auc,acc,prec,recall
0,updrs_1,max_delta_step,1,0.5387619047619048,0.6141700404858299,0.46412698412698417,0.24952380952380954
1,updrs_1,max_delta_step,3,0.5690714285714286,0.6443994601889339,0.5349206349206348,0.27714285714285714
2,updrs_1,max_delta_step,5,0.5690714285714286,0.6443994601889339,0.5349206349206348,0.27714285714285714
3,updrs_1,max_delta_step,7,0.5690714285714286,0.6443994601889339,0.5349206349206348,0.27714285714285714
4,updrs_1,max_delta_step,9,0.5690714285714286,0.6443994601889339,0.5349206349206348,0.27714285714285714
5,updrs_1,scale_pos_weight,1.1,0.5472380952380952,0.6140350877192983,0.4888888888888888,0.29047619047619044
6,updrs_1,scale_pos_weight,1.3,0.5621666666666667,0.6241565452091768,0.5094988344988345,0.31999999999999995
7,updrs_1,scale_pos_weight,1.7,0.5683333333333332,0.628744939271255,0.5066233766233766,0.3333333333333333
8,updrs_1,scale_pos_weight,2,0.6099047619047618,0.659919028340081,0.5558441558441558,0.4171428571428571
9,updrs_1,scale_pos_weight,2.3,0.5660952380952382,0.6086369770580297,0.4709090909090909,0.40285714285714286
10,updrs_1,subsample,0.3,0.558547619047619,0.6344129554655871,0.5346031746031746,0.2647619047619047
11,updrs_1,subsample,0.5,0.5399523809523809,0.6133603238866396,0.4983682983682984,0.26190476190476186
12,updrs_1,subsample,0.7,0.5526190476190476,0.6341430499325236,0.5366666666666667,0.2352380952380952
13,updrs_1,subsample,0.9,0.5636666666666666,0.6392712550607288,0.5101587301587301,0.26666666666666666
14,updrs_1,colsample_bytree,0.3,0.6307619047619049,0.6959514170040485,0.6546536796536795,0.3761904761904762
15,updrs_1,colsample_bytree,0.5,0.6073333333333333,0.6805668016194332,0.7033333333333334,0.32
16,updrs_1,colsample_bytree,0.7,0.5444285714285714,0.624021592442645,0.5083333333333333,0.23619047619047615
17,updrs_1,colsample_bytree,0.9,0.5800476190476189,0.6547908232118758,0.5811111111111111,0.2914285714285715
